TIPO,NOMBRE,SECTOR,CODCUE,CUENCA,CODSCUE,SUBCUENCA,CODMCUE,MICROCUENCA,VOLUMEN,OBSERVACION,IDTABINV,CODHIDRO,OBJECTID,AMBIENTEHidrografia_CAguAREA
601,Río Guavio,RURAL,2119,Río Sumapaz,211910,Río Cuja,,ND,,,,,479,218538.04937597
603,Laguna 15 Sector Olarte,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200604,Río Tunjuelo Alto,,,,21200604298,480,1066.15629377
603,Laguna Seca,RURAL,3503,Río Guatiquía,350301,Río Chuza - Embalse de Chuza,,ND,,,,,481,57085.15892878
603,Laguna,RURAL,3502,Río Guayuriba,350236,Quebrada de Chucua,,ND,,,,,482,8726.71688209
603,Laguna Siecha Mitov,RURAL,2120,Río Bogotá,212009,Embalse Tominé,,ND,,,,,483,58826.16565349
603,Laguna,RURAL,3503,Río Guatiquía,350303,Río Guatiquía,,ND,,,,,484,20830.12911153
603,Laguna sector Los Tunjos 1,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200607,Río Chisacá,,,,21200607195,485,702.11871148
603,Laguna,RURAL,3502,Río Guayuriba,350223,Río Caqueza,,ND,,,,,486,9043.64717024
601,Río Chicú,RURAL,2120,Río Bogotá,212019,Río Chicú,,ND,,,,,487,42920.4468144
601,Río Susumuco,RURAL,3502,Río Guayuriba,350204,Quebrada Susumuco,,ND,,,,,488,229682.67720442
603,Laguna,RURAL,3506,Río Guavio,350616,Río Guavio,,ND,,,,,489,166.47696327
603,Laguna,RURAL,3503,Río Guatiquía,350306,Quebrada Blanca,,ND,,,,,490,6231.46381344
603,Lago Club Los Arrayanes 4,RURAL DC,2120,Río Bogotá,212022,Torca,21202202,Conejera,,,,21202202008,491,5195.3701009
603,Laguna del Rincon,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609485,492,39111.22540528
603,Laguna,RURAL,2119,Río Sumapaz,211910,Río Cuja,,ND,,,,,493,395.55011954
603,Laguna 4 Sector Q. Piedra Gorda,RURAL DC,2120,Río Bogotá,212006,Tunjuelo,21200609,Río Curubital,,,,21200609505,494,415.46414738
603,Laguna,RURAL,2120,Río Bogotá,212008,Río Teusacá,,ND,,,,,495,369.34334013
603,Laguna Larga,RURAL DC,3502,Río Guayuriba,212006,Río Tunjuelo,21200609,Río Curubital,,,,21200609472,496,29860.89891299
